"bin_midpoints" "counts"
"281" 15.6469838027972 10
"282" 15.6507156092343 5
"283" 15.6544474156713 8
"284" 15.6581792221084 10
"285" 15.6619110285455 10
"286" 15.6656428349825 6
"287" 15.6693746414196 11
"288" 15.6731064478567 4
"289" 15.6768382542937 5
"290" 15.6805700607308 6
"291" 15.6843018671679 8
"292" 15.6880336736049 7
"293" 15.691765480042 6
"294" 15.6954972864791 1
"295" 15.6992290929161 5
"296" 15.7029608993532 4
"297" 15.7066927057903 8
"298" 15.7104245122273 5
"299" 15.7141563186644 7
"300" 15.7178881251015 6
"301" 15.7216199315385 4
"302" 15.7253517379756 8
"303" 15.7290835444127 6
"304" 15.7328153508497 5
"305" 15.7365471572868 6
"306" 15.7402789637239 7
"307" 15.7440107701609 5
"308" 15.747742576598 9
"309" 15.7514743830351 8
"310" 15.7552061894721 6
"311" 15.7589379959092 5
"312" 15.7626698023463 11
"313" 15.7664016087833 8
"314" 15.7701334152204 13
"315" 15.7738652216575 8
"316" 15.7775970280945 7
"317" 15.7813288345316 5
"318" 15.7850606409687 9
"319" 15.7887924474057 5
"320" 15.7925242538428 8
"321" 15.7962560602799 3
"322" 15.7999878667169 7
"323" 15.803719673154 1
"324" 15.8074514795911 5
"325" 15.8111832860281 12
"326" 15.8149150924652 6
"327" 15.8186468989023 8
"328" 15.8223787053393 6
"329" 15.8261105117764 5
"330" 15.8298423182135 6
"331" 15.8335741246505 8
"332" 15.8373059310876 4
"333" 15.8410377375247 9
"334" 15.8447695439617 6
"335" 15.8485013503988 4
"336" 15.8522331568359 5
"337" 15.8559649632729 5
"338" 15.85969676971 9
"339" 15.8634285761471 4
"340" 15.8671603825841 6
"341" 15.8708921890212 11
"342" 15.8746239954583 10
"343" 15.8783558018953 13
"344" 15.8820876083324 9
"345" 15.8858194147695 6
"346" 15.8895512212065 11
"347" 15.8932830276436 5
"348" 15.8970148340807 6
"349" 15.9007466405177 7
"350" 15.9044784469548 7
"351" 15.9082102533919 7
"352" 15.9119420598289 7
"353" 15.915673866266 5
"354" 15.9194056727031 6
"355" 15.9231374791401 6
"356" 15.9268692855772 4
"357" 15.9306010920143 5
"358" 15.9343328984513 4
"359" 15.9380647048884 7
"360" 15.9417965113255 4
"361" 15.9455283177625 8
"362" 15.9492601241996 10
"363" 15.9529919306367 10
"364" 15.9567237370737 10
"365" 15.9604555435108 7
"366" 15.9641873499479 6
"367" 15.9679191563849 6
"368" 15.971650962822 10
"369" 15.9753827692591 7
"370" 15.9791145756961 8
"371" 15.9828463821332 7
"372" 15.9865781885703 2
"373" 15.9903099950073 5
"374" 15.9940418014444 5
"375" 15.9977736078815 5
"376" 16.0015054143185 8
"377" 16.0052372207556 5
"378" 16.0089690271927 3
"379" 16.0127008336297 6
"380" 16.0164326400668 6
"381" 16.0201644465039 5
"382" 16.0238962529409 10
"383" 16.027628059378 8
"384" 16.0313598658151 2
"385" 16.0350916722521 2
"386" 16.0388234786892 7
"387" 16.0425552851263 8
"388" 16.0462870915633 5
"389" 16.0500188980004 5
"390" 16.0537507044375 6
"391" 16.0574825108745 7
"392" 16.0612143173116 5
"393" 16.0649461237487 11
"394" 16.0686779301857 9
"395" 16.0724097366228 6
"396" 16.0761415430599 8
"397" 16.0798733494969 9
"398" 16.083605155934 5
"399" 16.0873369623711 8
"400" 16.0910687688081 5
"401" 16.0948005752452 6
"402" 16.0985323816823 7
"403" 16.1022641881193 5
"404" 16.1059959945564 10
"405" 16.1097278009935 8
"406" 16.1134596074305 3
"407" 16.1171914138676 4
"408" 16.1209232203047 6
"409" 16.1246550267417 6
"410" 16.1283868331788 7
"411" 16.1321186396159 2
"412" 16.1358504460529 8
"413" 16.13958225249 7
"414" 16.1433140589271 6
"415" 16.1470458653641 8
"416" 16.1507776718012 6
"417" 16.1545094782383 2
"418" 16.1582412846753 5
"419" 16.1619730911124 2
"420" 16.1657048975495 5
"421" 16.1694367039865 7
"422" 16.1731685104236 9
"423" 16.1769003168607 7
"424" 16.1806321232977 11
"425" 16.1843639297348 6
"426" 16.1880957361719 8
"427" 16.1918275426089 4
"428" 16.195559349046 5
"429" 16.1992911554831 8
"430" 16.2030229619201 6
"431" 16.2067547683572 3
"432" 16.2104865747943 6
"433" 16.2142183812313 10
"434" 16.2179501876684 5
"435" 16.2216819941055 5
"436" 16.2254138005425 11
"437" 16.2291456069796 9
"438" 16.2328774134167 9
"439" 16.2366092198537 5
"440" 16.2403410262908 6
"441" 16.2440728327279 7
"442" 16.2478046391649 8
"443" 16.251536445602 5
"444" 16.2552682520391 7
"445" 16.2590000584761 5
"446" 16.2627318649132 7
"447" 16.2664636713503 6
"448" 16.2701954777873 1
"449" 16.2739272842244 6
"450" 16.2776590906615 7
"451" 16.2813908970985 5
"452" 16.2851227035356 4
"453" 16.2888545099727 12
"454" 16.2925863164097 5
"455" 16.2963181228468 1
"456" 16.3000499292839 6
"457" 16.3037817357209 6
"458" 16.307513542158 6
"459" 16.3112453485951 8
"460" 16.3149771550321 6
"461" 16.3187089614692 7
"462" 16.3224407679063 3
"463" 16.3261725743433 4
